Animal_ID,Treatment,Mass_g_June_26,Mass_g_July_3,Mass_g_July_10,Mass_g_July_17,TL_mm_June_26,TL_mm_July_17,CRKT_sec_July_4,CRKT_sec_July_8,CRKT_sec_July_11,IMI_ng_g_tissue,IMI_ole_ng_g_tissue,IMI_ng_mg_protein,IMI_ole_ng_mg_protein
Lp_1,0,16.99,15.6,16.27,12.52,58,64,1,2,1,0.242,0,0.927665,0
Lp_2,0,21.08,21,22.22,19.89,52,70,7,1,2,1.124,0.039,9.293451,2.892357
Lp_3,0,17.96,16.92,19.7,16.04,60,67,5,5,61,0.327,0.067,1.404456,2.600845
Lp_4,0,19.98,19.91,19.75,16.83,64,68,1,4,5,0.311,0.023,6.05434,4.085569
Lp_5,0,17.07,17.34,19.31,15.98,68,66,4,3,22,0.283,0.037,4.876946,5.807168
Lp_6,0,19.08,18.73,20.37,17.72,64,69,6,1,32,0.33,0,5.737181,0
Lp_7,0,18.45,19.26,19.11,16.25,68,68,2,2,1,0.113,0,2.015471,0
Lp_8,0,21.82,20.37,20.04,18.2,69,73,67,2,3,0.208,0.014,2.91921,1.82576
Lp_9,0,24.78,24.14,28.11,22.62,59,72,2,3,22,0.282,0.021,4.811995,3.144768
Lp_10,0,29.23,30.45,28.79,27.7,70,80,1,5,14,0.302,0,4.401183,0
Lp_11,0.1,20.14,19.35,20.21,16.7,53,70,1,2,15,2.986,0,48.92646,0
Lp_12,0.1,20.19,20.27,19.75,18.64,57,70,24,5,10,2.089,0,46.69841,0
Lp_13,0.1,17.6,18.07,17.24,15.24,55,70,120,3,3,3.225,0,51.59786,0
Lp_14,0.1,18.84,20.89,21.3,20.98,65,75,1,7,13,3.095,0,47.10524,0
Lp_15,0.1,18.45,17.56,17.77,16.15,70,69,1,15,2,4.327,0,69.45768,0
Lp_16,0.1,19.3,18.87,19.61,17.27,54,74,120,75,9,5.107,0,63.09937,0
Lp_17,0.1,19.4,18.25,19.11,17.45,56,68,120,1,10,2.632,0,41.72443,0
Lp_18,0.1,14.36,13.23,14.59,11.25,47,61,1,2,48,2.686,0,53.66753,0
Lp_19,0.1,22.36,22.21,22.75,19.01,55,70,2,4,2,3.727,0.026,53.62341,3.400152
Lp_20,0.1,17.57,17.64,17.28,16.47,60,66,3,27,33,2.682,0,49.70568,0
Lp_21,1,20.86,20.44,19.55,17.82,70,72,2,35,2,8.394,0.018,114.9688,2.232326
Lp_22,1,15.37,15.28,16.35,14.84,57,65,9,6,2,6.796,0.074,114.2674,11.22335
Lp_23,1,16,17.08,17.3,13.96,62,67,108,7,40,11.286,0.048,120.8941,4.654808
Lp_24,1,17.33,16.77,16.49,16.6,49,63,64,86,60,5.915,0,79.62014,0
Lp_25,1,13.15,12.58,13.15,11.45,55,63,15,5,42,40.543,0,136.8091,0
Lp_26,1,17.75,16.8,18.01,16.24,62,70,1,1,45,15.045,0.053,122.1562,3.837064
Lp_27,1,19.55,17.83,18.01,15.16,63,69,1,9,3,11.365,0,111.302,0
Lp_28,1,14.06,12.7,15.15,12.25,56,62,84,1,47,7.388,0,121.2724,0
Lp_29,1,25.04,22.47,22.22,21.15,78,78,40,120,1,9.226,0,115.6096,0
Lp_30,1,14.33,13.57,13.61,11.6,59,65,108,1,10,21.685,0,102.7059,0
Lp_31,5,19.02,18.68,19.32,17.46,57,75,120,42,2,30.374,0.068,660.2807,13.28533
Lp_32,5,14.15,14.05,14.41,13.61,55,65,4,1,120,119.159,0.078,547.1663,3.240485
Lp_33,5,23.17,17.65,19.11,17.44,73,74,3,28,3,30.194,0.052,443.3264,6.878829
Lp_34,5,14.83,15.29,15.99,14.09,60,66,63,15,78,123.954,0.126,698.0217,6.410821
Lp_35,5,44.19,42.09,39.04,38.2,77,85,3,6,2,29.249,0.064,413.7862,8.095809
Lp_36,5,23.88,23.52,23.16,20.52,68,71,6,8,3,30.125,0.062,540.8062,10.08345
Lp_37,5,16.59,15.8,16.84,15.4,61,64,3,3,2,44.286,0.042,763.6947,6.449804
Lp_38,5,24.26,21.78,22.98,20.39,66,73,2,24,1,34.961,0.079,660.3987,13.46014
Lp_39,5,17.15,16.99,17.98,16.3,56,67,120,3,4,39.871,0.042,631.1292,5.949938
Lp_40,5,12.99,13.58,14.03,12.56,54,60,40,25,2,39.866,0.089,463.4759,9.321619
Lp_41,10,14.12,12.17,13.5,11.69,60,61,6,2,1,66.516,0.137,1333.722,24.66661
Lp_42,10,17.2,15.37,15.48,14.71,62,69,6,4,1,90.636,0.106,2005.666,21.14251
Lp_43,10,14.35,12.17,13.44,11.19,51,56,82,3,40,63.038,0.052,1447.56,10.75476
Lp_44,10,16.48,16.14,17.44,15.19,63,71,2,8,4,51.508,0.071,1146.352,14.15654
Lp_45,10,15.84,16.11,17.03,13.85,65,66,2,2,32,53.84,0.109,1298.894,23.6615
Lp_46,10,14.75,13.66,13.83,13.01,54,69,6,18,120,75.424,0.069,1751.249,14.3894
Lp_47,10,13.19,12.76,13.27,12.35,48,61,90,1,6,37.872,0.116,874.139,24.06057
Lp_48,10,17.24,16.03,16.15,15.01,72,69,1,1,2,44.541,0.064,1304.949,16.85085
Lp_49,10,11.09,10.19,10.87,8.91,49,54,98,9,3,60.824,0.076,1244.212,13.92312
Lp_50,10,21.15,19.79,21.22,17.91,70,73,5,1,12,59.449,0.081,1224.976,14.96757
